Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,543187848,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,619748863,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,56900165,,,0
S4,2014,2014,2014,1,0,4,Re-Import,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,7116009,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,4,Afghanistan,AFG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,83460,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,80,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,8,Albania,ALB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,15424,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,12,Algeria,DZA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,6101,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,28,Antigua and Barbuda,ATG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,54760,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,31,Azerbaijan,AZE,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,570113,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,32,Argentina,ARG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,7368904,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,8918,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,36,Australia,AUS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,10055,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3459139,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,18757619,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,40,Austria,AUT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1305725,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,108972,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,50,Bangladesh,BGD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,18592,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,36641,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,51,Armenia,ARM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,732961,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,5961988,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1281085,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,56,Belgium,BEL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,367574,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,68,Bolivia (Plurinational State of),BOL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2593,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,70,Bosnia Herzegovina,BIH,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,506965,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,76,Brazil,BRA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,9920946,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,84,Belize,BLZ,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1384,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,92,Br. Virgin Isds,VGB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,301361,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,4144496,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,100,Bulgaria,BGR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2369130,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,786,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,104,Myanmar,MMR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,223315,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,7210426,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,67343862,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,112,Belarus,BLR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,11891795,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,116,Cambodia,KHM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1136,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1458102,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1033999,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,124,Canada,CAN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,73705,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,144,Sri Lanka,LKA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2041880,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,152,Chile,CHL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,840573,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,4422278,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,156,China,CHN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,285115,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,170,Colombia,COL,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,220965,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,174,Comoros,COM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1311,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,188,Costa Rica,CRI,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2157865,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,191,Croatia,HRV,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,274823,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,191,Croatia,HRV,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,184882,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,192,Cuba,CUB,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,10637,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,24130,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,196,Cyprus,CYP,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,5115554,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,203,Czechia,CZE,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,6550110,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,203,Czechia,CZE,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1890830,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,203,Czechia,CZE,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,272305,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,208,Denmark,DNK,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,6244492,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,208,Denmark,DNK,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1243757,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,214,Dominican Rep.,DOM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,18353,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,218,Ecuador,ECU,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,8241899,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,231,Ethiopia,ETH,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,22228,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,233,Estonia,EST,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1451068,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,233,Estonia,EST,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,545642,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,234,Faeroe Isds,FRO,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3850322,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,238,Falkland Isds (Malvinas),FLK,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,117375,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,246,Finland,FIN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,606746,,,0
