Year,Trade Flow,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Trade Value (US$)
2014,Export,Rep. of Moldova,MDA,0,World,WLD,0,Food and live animals,619748863
2014,Import,Rep. of Moldova,MDA,0,World,WLD,0,Food and live animals,543187848
2014,Re-Export,Rep. of Moldova,MDA,0,World,WLD,0,Food and live animals,56900165
2014,Export,Rep. of Moldova,MDA,8,Albania,ALB,0,Food and live animals,15424
2014,Export,Rep. of Moldova,MDA,31,Azerbaijan,AZE,0,Food and live animals,570113
2014,Export,Rep. of Moldova,MDA,36,Australia,AUS,0,Food and live animals,10055
2014,Export,Rep. of Moldova,MDA,40,Austria,AUT,0,Food and live animals,18757619
2014,Export,Rep. of Moldova,MDA,50,Bangladesh,BGD,0,Food and live animals,18592
2014,Export,Rep. of Moldova,MDA,51,Armenia,ARM,0,Food and live animals,732961
2014,Export,Rep. of Moldova,MDA,56,Belgium,BEL,0,Food and live animals,1281085
2014,Export,Rep. of Moldova,MDA,70,Bosnia Herzegovina,BIH,0,Food and live animals,506965
2014,Export,Rep. of Moldova,MDA,84,Belize,BLZ,0,Food and live animals,1384
2014,Export,Rep. of Moldova,MDA,92,Br. Virgin Isds,VGB,0,Food and live animals,301361
2014,Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,0,Food and live animals,2369130
2014,Export,Rep. of Moldova,MDA,104,Myanmar,MMR,0,Food and live animals,223315
2014,Export,Rep. of Moldova,MDA,112,Belarus,BLR,0,Food and live animals,67343862
2014,Export,Rep. of Moldova,MDA,124,Canada,CAN,0,Food and live animals,1033999
2014,Import,Rep. of Moldova,MDA,4,Afghanistan,AFG,0,Food and live animals,83460
2014,Import,Rep. of Moldova,MDA,8,Albania,ALB,0,Food and live animals,80
2014,Import,Rep. of Moldova,MDA,12,Algeria,DZA,0,Food and live animals,6101
2014,Import,Rep. of Moldova,MDA,28,Antigua and Barbuda,ATG,0,Food and live animals,54760
2014,Import,Rep. of Moldova,MDA,32,Argentina,ARG,0,Food and live animals,7368904
2014,Import,Rep. of Moldova,MDA,36,Australia,AUS,0,Food and live animals,8918
2014,Import,Rep. of Moldova,MDA,40,Austria,AUT,0,Food and live animals,3459139
2014,Re-Export,Rep. of Moldova,MDA,40,Austria,AUT,0,Food and live animals,1305725
2014,Re-Export,Rep. of Moldova,MDA,56,Belgium,BEL,0,Food and live animals,367574
2014,Re-Export,Rep. of Moldova,MDA,112,Belarus,BLR,0,Food and live animals,11891795
2014,Re-Export,Rep. of Moldova,MDA,124,Canada,CAN,0,Food and live animals,73705
2014,Re-Export,Rep. of Moldova,MDA,203,Czechia,CZE,0,Food and live animals,272305
2014,Re-Export,Rep. of Moldova,MDA,251,France,FRA,0,Food and live animals,9979977
2014,Re-Export,Rep. of Moldova,MDA,268,Georgia,GEO,0,Food and live animals,420078
2014,Re-Export,Rep. of Moldova,MDA,276,Germany,DEU,0,Food and live animals,183766
2014,Re-Export,Rep. of Moldova,MDA,300,Greece,GRC,0,Food and live animals,58866
2014,Re-Export,Rep. of Moldova,MDA,344,"China, Hong Kong SAR",HKG,0,Food and live animals,365067
2014,Re-Export,Rep. of Moldova,MDA,364,Iran,IRN,0,Food and live animals,206250
2014,Re-Export,Rep. of Moldova,MDA,368,Iraq,IRQ,0,Food and live animals,724477
2014,Re-Export,Rep. of Moldova,MDA,381,Italy,ITA,0,Food and live animals,889950
2014,Re-Export,Rep. of Moldova,MDA,398,Kazakhstan,KAZ,0,Food and live animals,47430
2014,Import,Rep. of Moldova,MDA,0,World,WLD,5,"Chemicals and related products, n.e.s.",796908754
2014,Export,Rep. of Moldova,MDA,0,World,WLD,5,"Chemicals and related products, n.e.s.",176194808
2014,Re-Export,Rep. of Moldova,MDA,0,World,WLD,5,"Chemicals and related products, n.e.s.",147318314
2014,Re-Export,Rep. of Moldova,MDA,0,World,WLD,7,Machinery and transport equipment,136465497
2014,Import,Rep. of Moldova,MDA,8,Albania,ALB,5,"Chemicals and related products, n.e.s.",356
2014,Import,Rep. of Moldova,MDA,12,Algeria,DZA,5,"Chemicals and related products, n.e.s.",1827
2014,Import,Rep. of Moldova,MDA,20,Andorra,AND,5,"Chemicals and related products, n.e.s.",6042
2014,Import,Rep. of Moldova,MDA,28,Antigua and Barbuda,ATG,5,"Chemicals and related products, n.e.s.",32174
2014,Import,Rep. of Moldova,MDA,32,Argentina,ARG,5,"Chemicals and related products, n.e.s.",340823
2014,Import,Rep. of Moldova,MDA,36,Australia,AUS,5,"Chemicals and related products, n.e.s.",292120
2014,Export,Rep. of Moldova,MDA,0,World,WLD,7,Machinery and transport equipment,336958411
2014,Export,Rep. of Moldova,MDA,24,Angola,AGO,5,"Chemicals and related products, n.e.s.",2935
2014,Export,Rep. of Moldova,MDA,31,Azerbaijan,AZE,5,"Chemicals and related products, n.e.s.",2192269
2014,Export,Rep. of Moldova,MDA,40,Austria,AUT,5,"Chemicals and related products, n.e.s.",6653
2014,Export,Rep. of Moldova,MDA,51,Armenia,ARM,5,"Chemicals and related products, n.e.s.",497073
2014,Export,Rep. of Moldova,MDA,56,Belgium,BEL,5,"Chemicals and related products, n.e.s.",2320
2014,Export,Rep. of Moldova,MDA,70,Bosnia Herzegovina,BIH,5,"Chemicals and related products, n.e.s.",1
2014,Export,Rep. of Moldova,MDA,84,Belize,BLZ,5,"Chemicals and related products, n.e.s.",161
2014,Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,5,"Chemicals and related products, n.e.s.",592749
2014,Re-Export,Rep. of Moldova,MDA,31,Azerbaijan,AZE,5,"Chemicals and related products, n.e.s.",103924
2014,Re-Export,Rep. of Moldova,MDA,40,Austria,AUT,5,"Chemicals and related products, n.e.s.",6653
2014,Re-Export,Rep. of Moldova,MDA,51,Armenia,ARM,5,"Chemicals and related products, n.e.s.",391230
2014,Re-Export,Rep. of Moldova,MDA,56,Belgium,BEL,5,"Chemicals and related products, n.e.s.",837
2014,Re-Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,5,"Chemicals and related products, n.e.s.",1512
2014,Re-Export,Rep. of Moldova,MDA,112,Belarus,BLR,5,"Chemicals and related products, n.e.s.",235478
2014,Re-Export,Rep. of Moldova,MDA,156,China,CHN,5,"Chemicals and related products, n.e.s.",46440
2014,Re-Export,Rep. of Moldova,MDA,203,Czechia,CZE,5,"Chemicals and related products, n.e.s.",172586
2014,Re-Export,Rep. of Moldova,MDA,208,Denmark,DNK,5,"Chemicals and related products, n.e.s.",396117
2014,Re-Export,Rep. of Moldova,MDA,251,France,FRA,5,"Chemicals and related products, n.e.s.",12271
2014,Re-Export,Rep. of Moldova,MDA,268,Georgia,GEO,5,"Chemicals and related products, n.e.s.",940717
2014,Re-Export,Rep. of Moldova,MDA,276,Germany,DEU,5,"Chemicals and related products, n.e.s.",13051
2014,Re-Export,Rep. of Moldova,MDA,300,Greece,GRC,5,"Chemicals and related products, n.e.s.",57476
2014,Import,Rep. of Moldova,MDA,0,World,WLD,1,Beverages and tobacco,117481486
2014,Import,Rep. of Moldova,MDA,0,World,WLD,2,"Crude materials, inedible, except fuels",112460979
2014,Export,Rep. of Moldova,MDA,0,World,WLD,1,Beverages and tobacco,208537740
2014,Export,Rep. of Moldova,MDA,0,World,WLD,2,"Crude materials, inedible, except fuels",211138136
2014,Re-Export,Rep. of Moldova,MDA,0,World,WLD,1,Beverages and tobacco,22365851
2014,Re-Export,Rep. of Moldova,MDA,0,World,WLD,2,"Crude materials, inedible, except fuels",10927852
2014,Import,Rep. of Moldova,MDA,32,Argentina,ARG,1,Beverages and tobacco,5090
2014,Import,Rep. of Moldova,MDA,36,Australia,AUS,1,Beverages and tobacco,10319
2014,Import,Rep. of Moldova,MDA,20,Andorra,AND,2,"Crude materials, inedible, except fuels",676
2014,Import,Rep. of Moldova,MDA,32,Argentina,ARG,2,"Crude materials, inedible, except fuels",1724352
2014,Import,Rep. of Moldova,MDA,36,Australia,AUS,2,"Crude materials, inedible, except fuels",34981
2014,Export,Rep. of Moldova,MDA,8,Albania,ALB,1,Beverages and tobacco,74150
2014,Export,Rep. of Moldova,MDA,31,Azerbaijan,AZE,1,Beverages and tobacco,709386
2014,Export,Rep. of Moldova,MDA,36,Australia,AUS,1,Beverages and tobacco,74825
2014,Export,Rep. of Moldova,MDA,40,Austria,AUT,1,Beverages and tobacco,75214
2014,Export,Rep. of Moldova,MDA,51,Armenia,ARM,1,Beverages and tobacco,20796
2014,Export,Rep. of Moldova,MDA,56,Belgium,BEL,1,Beverages and tobacco,48563
2014,Export,Rep. of Moldova,MDA,70,Bosnia Herzegovina,BIH,1,Beverages and tobacco,321792
2014,Export,Rep. of Moldova,MDA,84,Belize,BLZ,1,Beverages and tobacco,47
2014,Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,1,Beverages and tobacco,412927
2014,Export,Rep. of Moldova,MDA,112,Belarus,BLR,1,Beverages and tobacco,51056234
2014,Export,Rep. of Moldova,MDA,124,Canada,CAN,1,Beverages and tobacco,114759
2014,Export,Rep. of Moldova,MDA,8,Albania,ALB,2,"Crude materials, inedible, except fuels",8400
2014,Export,Rep. of Moldova,MDA,31,Azerbaijan,AZE,2,"Crude materials, inedible, except fuels",198000
2014,Export,Rep. of Moldova,MDA,36,Australia,AUS,2,"Crude materials, inedible, except fuels",8374
2014,Export,Rep. of Moldova,MDA,40,Austria,AUT,2,"Crude materials, inedible, except fuels",3697483
2014,Export,Rep. of Moldova,MDA,50,Bangladesh,BGD,2,"Crude materials, inedible, except fuels",167304
2014,Export,Rep. of Moldova,MDA,51,Armenia,ARM,2,"Crude materials, inedible, except fuels",7276
2014,Export,Rep. of Moldova,MDA,56,Belgium,BEL,2,"Crude materials, inedible, except fuels",260310
2014,Export,Rep. of Moldova,MDA,70,Bosnia Herzegovina,BIH,2,"Crude materials, inedible, except fuels",6270
2014,Export,Rep. of Moldova,MDA,92,Br. Virgin Isds,VGB,2,"Crude materials, inedible, except fuels",87515
2014,Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,2,"Crude materials, inedible, except fuels",2242920
2014,Export,Rep. of Moldova,MDA,112,Belarus,BLR,2,"Crude materials, inedible, except fuels",6139153
2014,Re-Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,1,Beverages and tobacco,26848
2014,Re-Export,Rep. of Moldova,MDA,112,Belarus,BLR,1,Beverages and tobacco,1881040
2014,Export,Rep. of Moldova,MDA,0,World,WLD,6,Manufactured goods classified chiefly by material,173775679
2014,Re-Export,Rep. of Moldova,MDA,0,World,WLD,6,Manufactured goods classified chiefly by material,60795311
2014,Import,Rep. of Moldova,MDA,0,World,WLD,6,Manufactured goods classified chiefly by material,992302362
2014,Import,Rep. of Moldova,MDA,8,Albania,ALB,6,Manufactured goods classified chiefly by material,1197
2014,Import,Rep. of Moldova,MDA,20,Andorra,AND,6,Manufactured goods classified chiefly by material,15214
2014,Import,Rep. of Moldova,MDA,28,Antigua and Barbuda,ATG,6,Manufactured goods classified chiefly by material,12298
2014,Import,Rep. of Moldova,MDA,31,Azerbaijan,AZE,6,Manufactured goods classified chiefly by material,938
2014,Import,Rep. of Moldova,MDA,32,Argentina,ARG,6,Manufactured goods classified chiefly by material,385197
2014,Import,Rep. of Moldova,MDA,36,Australia,AUS,6,Manufactured goods classified chiefly by material,152542
2014,Export,Rep. of Moldova,MDA,4,Afghanistan,AFG,6,Manufactured goods classified chiefly by material,902
2014,Export,Rep. of Moldova,MDA,31,Azerbaijan,AZE,6,Manufactured goods classified chiefly by material,900990
2014,Export,Rep. of Moldova,MDA,36,Australia,AUS,6,Manufactured goods classified chiefly by material,215733
2014,Export,Rep. of Moldova,MDA,40,Austria,AUT,6,Manufactured goods classified chiefly by material,656254
2014,Export,Rep. of Moldova,MDA,51,Armenia,ARM,6,Manufactured goods classified chiefly by material,501117
2014,Export,Rep. of Moldova,MDA,56,Belgium,BEL,6,Manufactured goods classified chiefly by material,1282660
2014,Export,Rep. of Moldova,MDA,70,Bosnia Herzegovina,BIH,6,Manufactured goods classified chiefly by material,121309
2014,Export,Rep. of Moldova,MDA,84,Belize,BLZ,6,Manufactured goods classified chiefly by material,104
2014,Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,6,Manufactured goods classified chiefly by material,3263151
2014,Export,Rep. of Moldova,MDA,112,Belarus,BLR,6,Manufactured goods classified chiefly by material,1774937
2014,Re-Export,Rep. of Moldova,MDA,31,Azerbaijan,AZE,6,Manufactured goods classified chiefly by material,49016
2014,Re-Export,Rep. of Moldova,MDA,40,Austria,AUT,6,Manufactured goods classified chiefly by material,171331
2014,Re-Export,Rep. of Moldova,MDA,56,Belgium,BEL,6,Manufactured goods classified chiefly by material,397037
2014,Re-Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,6,Manufactured goods classified chiefly by material,211471
2014,Re-Export,Rep. of Moldova,MDA,112,Belarus,BLR,6,Manufactured goods classified chiefly by material,77305
2014,Re-Export,Rep. of Moldova,MDA,124,Canada,CAN,6,Manufactured goods classified chiefly by material,32388
2014,Re-Export,Rep. of Moldova,MDA,152,Chile,CHL,6,Manufactured goods classified chiefly by material,32293
2014,Re-Export,Rep. of Moldova,MDA,178,Congo,COG,6,Manufactured goods classified chiefly by material,110876
2014,Re-Export,Rep. of Moldova,MDA,203,Czechia,CZE,6,Manufactured goods classified chiefly by material,25173
2014,Re-Export,Rep. of Moldova,MDA,233,Estonia,EST,6,Manufactured goods classified chiefly by material,100
2014,Re-Export,Rep. of Moldova,MDA,246,Finland,FIN,6,Manufactured goods classified chiefly by material,942
2014,Re-Export,Rep. of Moldova,MDA,344,"China, Hong Kong SAR",HKG,5,"Chemicals and related products, n.e.s.",143122
2014,Re-Export,Rep. of Moldova,MDA,348,Hungary,HUN,5,"Chemicals and related products, n.e.s.",186190
2014,Re-Export,Rep. of Moldova,MDA,376,Israel,ISR,5,"Chemicals and related products, n.e.s.",13157
2014,Re-Export,Rep. of Moldova,MDA,381,Italy,ITA,5,"Chemicals and related products, n.e.s.",54727
2014,Re-Export,Rep. of Moldova,MDA,398,Kazakhstan,KAZ,5,"Chemicals and related products, n.e.s.",470687
2014,Re-Export,Rep. of Moldova,MDA,417,Kyrgyzstan,KGZ,5,"Chemicals and related products, n.e.s.",286676
2014,Re-Export,Rep. of Moldova,MDA,428,Latvia,LVA,5,"Chemicals and related products, n.e.s.",1117195
2014,Re-Export,Rep. of Moldova,MDA,440,Lithuania,LTU,5,"Chemicals and related products, n.e.s.",4335041
2014,Re-Export,Rep. of Moldova,MDA,616,Poland,POL,5,"Chemicals and related products, n.e.s.",1701585
2014,Import,Rep. of Moldova,MDA,0,World,WLD,7,Machinery and transport equipment,1123745038
2014,Import,Rep. of Moldova,MDA,20,Andorra,AND,7,Machinery and transport equipment,13984
2014,Import,Rep. of Moldova,MDA,28,Antigua and Barbuda,ATG,7,Machinery and transport equipment,7219
2014,Import,Rep. of Moldova,MDA,32,Argentina,ARG,7,Machinery and transport equipment,790047
2014,Import,Rep. of Moldova,MDA,36,Australia,AUS,7,Machinery and transport equipment,115918
2014,Export,Rep. of Moldova,MDA,112,Belarus,BLR,5,"Chemicals and related products, n.e.s.",4116903
2014,Export,Rep. of Moldova,MDA,4,Afghanistan,AFG,7,Machinery and transport equipment,40173
2014,Export,Rep. of Moldova,MDA,31,Azerbaijan,AZE,7,Machinery and transport equipment,606661
2014,Export,Rep. of Moldova,MDA,40,Austria,AUT,7,Machinery and transport equipment,62189
2014,Export,Rep. of Moldova,MDA,51,Armenia,ARM,7,Machinery and transport equipment,225621
2014,Export,Rep. of Moldova,MDA,56,Belgium,BEL,7,Machinery and transport equipment,2922412
